OBJECTID|STAETFP|COUNTYFP|GEOID|COUNTY|LABEL|FULL_|County_Pos_Cases|County_Population|County_Rate_Per_100_000|State_Population|State_Pos_Unknown|State_Pos_Cases|Data_Source|Date_Data_Last_Updated|State_Number_Tested|State_Number_Hospitalizations|State_Deaths|State_Number_of_Counties_Pos|State_Rate_Per_100000|Shape__Area|Shape__Length|county|positive_cases
1|08|109|08109|SAGUACHE|Saguache|Saguache County|0|6829|0.0|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|13273871024.1289|529491.079018544|SAGUACHE|0
2|08|115|08115|SEDGWICK|Sedgwick|Sedgwick County|0|2275|0.0|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|2491281577.11719|208249.56871408|SEDGWICK|0
3|08|017|08017|CHEYENNE|Cheyenne|Cheyenne County|0|1867|0.0|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|7613550869.75391|373455.831824096|CHEYENNE|0
4|08|027|08027|CUSTER|Custer|Custer County|0|4934|0.0|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|3100361575.17578|290994.589030107|CUSTER|0
5|08|067|08067|LA PLATA|La Plata|La Plata County|0|56446|0.0|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|6966607866.58203|371001.027724019|LA PLATA|0
6|08|111|08111|SAN JUAN|San Juan|San Juan County|0|747|0.0|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|1611963627.42969|209303.346789561|SAN JUAN|0
7|08|097|08097|PITKIN|Pitkin|Pitkin County|16|17926|89.26|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|4204962607.14063|360368.050497512|PITKIN|16
8|08|093|08093|PARK|Park|Park County|1|18545|-1.0|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|9525822458.41406|477017.520520283|PARK|1
9|08|003|08003|ALAMOSA|Alamosa|Alamosa County|0|16178|0.0|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|2987314188.43359|224661.437209443|ALAMOSA|0
10|08|099|08099|PROWERS|Prowers|Prowers County|0|12076|0.0|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|6861386117.78516|333326.752196427|PROWERS|0
11|08|081|08081|MOFFAT|Moffat|Moffat County|0|13201|0.0|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|21378597682.3633|615436.363722786|MOFFAT|0
12|08|059|08059|JEFFERSON|Jefferson|Jefferson County|51|579877|8.79|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|3379799618.59766|374132.11754513|JEFFERSON|51
13|08|117|08117|SUMMIT|Summit|Summit County|7|30978|22.6|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|2707648429.75781|325660.775440309|SUMMIT|7
14|08|101|08101|PUEBLO|Pueblo|Pueblo County|3|167081|-1.0|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|10064732291.2969|426421.345889861|PUEBLO|3
15|08|013|08013|BOULDER|Boulder|Boulder County|37|325520|11.37|5695430|1|591|Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County|Data through March 21, 2020|5436|58|6|29|10.38|3280791024.07031|290982.502053684|BOULDER|37
